1_двигатель_включен,1_ручной_тормоз,1_фары_включены,1_тип_кузова,1_привод,1_топливо,1_уровень_топлива,1_скоростной_режим,1_скорость,1_угол_поворота,2_двигатель_включен,2_ручной_тормоз,2_фары_включены,2_тип_кузова,2_привод,2_топливо,2_уровень_топлива,2_скоростной_режим,2_скорость,2_угол_поворота,collision
0,0,1,внедорожник,полный,бензин,средний,нормально,159.1205004822097,-106.70360109539045,1,0,0,грузовик,полный,дизель,высокий,быстро,120.33286867502983,-112.74116568957385,нет
0,0,1,внедорожник,полный,бензин,средний,нормально,159.1205004822097,-106.70360109539045,0,1,1,седан,задний,дизель,средний,нормально,45.82940187978595,50.073501933912496,нет
0,0,0,внедорожник,задний,бензин,низкий,медленно,198.81525962053152,101.24718929660423,1,0,0,грузовик,полный,дизель,высокий,быстро,120.33286867502983,-112.74116568957385,нет
0,1,0,внедорожник,передний,дизель,низкий,быстро,25.115397904973747,-96.21179812486213,1,0,0,грузовик,полный,дизель,высокий,быстро,120.33286867502983,-112.74116568957385,нет
1,0,0,седан,полный,бензин,средний,быстро,193.79131264550261,-79.1867087799691,0,1,1,седан,задний,дизель,средний,нормально,45.82940187978595,50.073501933912496,нет
0,0,1,грузовик,полный,электро,средний,быстро,2.935031047777903,155.92989403896826,0,1,1,седан,задний,дизель,средний,нормально,45.82940187978595,50.073501933912496,нет
1,0,0,седан,полный,бензин,средний,быстро,193.79131264550261,-79.1867087799691,1,0,0,хэтчбек,полный,дизель,средний,нормально,75.78080299171495,108.76222016540606,да
0,0,0,внедорожник,задний,бензин,низкий,медленно,198.81525962053152,101.24718929660423,1,1,0,внедорожник,передний,гибрид,низкий,нормально,75.24850512550853,-80.00062052540342,нет
0,0,0,внедорожник,задний,бензин,низкий,медленно,198.81525962053152,101.24718929660423,1,0,1,седан,полный,гибрид,высокий,быстро,39.57844178327478,-157.13848370819903,нет
1,0,0,седан,полный,бензин,средний,быстро,193.79131264550261,-79.1867087799691,0,1,0,внедорожник,передний,дизель,низкий,быстро,25.115397904973747,-96.21179812486213,нет
0,0,1,грузовик,полный,электро,средний,быстро,2.935031047777903,155.92989403896826,0,1,0,хэтчбек,полный,дизель,высокий,нормально,34.08171702875358,108.11817338374175,нет
0,1,0,хэтчбек,полный,дизель,высокий,нормально,34.08171702875358,108.11817338374175,1,0,0,хэтчбек,полный,дизель,средний,нормально,75.78080299171495,108.76222016540606,да
1,1,0,внедорожник,передний,гибрид,низкий,нормально,75.24850512550853,-80.00062052540342,1,0,0,хэтчбек,полный,дизель,средний,нормально,75.78080299171495,108.76222016540606,нет
0,0,1,грузовик,полный,электро,средний,быстро,2.935031047777903,155.92989403896826,0,1,0,внедорожник,передний,дизель,низкий,быстро,25.115397904973747,-96.21179812486213,нет
1,1,0,внедорожник,передний,гибрид,низкий,нормально,75.24850512550853,-80.00062052540342,1,0,0,грузовик,полный,дизель,высокий,быстро,120.33286867502983,-112.74116568957385,нет
0,1,0,внедорожник,передний,дизель,низкий,быстро,25.115397904973747,-96.21179812486213,1,0,1,седан,полный,гибрид,высокий,быстро,39.57844178327478,-157.13848370819903,нет
0,1,1,седан,задний,дизель,средний,нормально,45.82940187978595,50.073501933912496,1,0,0,грузовик,полный,дизель,высокий,быстро,120.33286867502983,-112.74116568957385,нет
0,1,0,хэтчбек,полный,дизель,высокий,нормально,34.08171702875358,108.11817338374175,0,1,1,седан,задний,дизель,средний,нормально,45.82940187978595,50.073501933912496,нет
1,1,0,внедорожник,передний,гибрид,низкий,нормально,75.24850512550853,-80.00062052540342,1,0,1,седан,полный,гибрид,высокий,быстро,39.57844178327478,-157.13848370819903,нет
1,0,1,седан,полный,гибрид,высокий,быстро,39.57844178327478,-157.13848370819903,0,1,1,седан,задний,дизель,средний,нормально,45.82940187978595,50.073501933912496,нет
0,0,1,грузовик,полный,электро,средний,быстро,2.935031047777903,155.92989403896826,0,0,0,внедорожник,задний,бензин,низкий,медленно,198.81525962053152,101.24718929660423,нет
1,0,1,седан,полный,гибрид,высокий,быстро,39.57844178327478,-157.13848370819903,1,0,0,хэтчбек,полный,дизель,средний,нормально,75.78080299171495,108.76222016540606,нет
0,0,1,грузовик,полный,электро,средний,быстро,2.935031047777903,155.92989403896826,1,0,0,грузовик,полный,дизель,высокий,быстро,120.33286867502983,-112.74116568957385,нет
0,0,0,внедорожник,задний,бензин,низкий,медленно,198.81525962053152,101.24718929660423,1,0,0,хэтчбек,полный,дизель,средний,нормально,75.78080299171495,108.76222016540606,нет
0,1,0,внедорожник,передний,дизель,низкий,быстро,25.115397904973747,-96.21179812486213,1,0,0,хэтчбек,полный,дизель,средний,нормально,75.78080299171495,108.76222016540606,нет
