1_двигатель_включен,1_ручной_тормоз,1_фары_включены,1_тип_кузова,1_привод,1_топливо,1_уровень_топлива,1_скоростной_режим,2_двигатель_включен,2_ручной_тормоз,2_фары_включены,2_тип_кузова,2_привод,2_топливо,2_уровень_топлива,2_скоростной_режим,collision
1,1,0,грузовик,передний,бензин,высокий,быстро,1,1,1,внедорожник,задний,гибрид,высокий,медленно,нет
0,0,0,седан,задний,гибрид,низкий,медленно,1,0,1,грузовик,передний,электро,средний,нормально,нет
1,0,1,грузовик,передний,электро,средний,нормально,0,1,0,грузовик,задний,электро,средний,быстро,нет
0,1,0,внедорожник,полный,гибрид,средний,медленно,1,1,0,хэтчбек,задний,бензин,высокий,нормально,нет
0,0,0,седан,задний,гибрид,низкий,медленно,1,0,1,грузовик,полный,гибрид,высокий,медленно,нет
1,1,1,грузовик,задний,гибрид,средний,нормально,1,1,0,хэтчбек,задний,бензин,высокий,нормально,да
0,1,0,внедорожник,полный,гибрид,средний,медленно,1,1,1,внедорожник,задний,гибрид,высокий,медленно,да
1,1,1,внедорожник,задний,гибрид,высокий,медленно,1,1,0,седан,задний,электро,низкий,быстро,нет
0,0,0,седан,задний,гибрид,низкий,медленно,0,1,1,внедорожник,передний,электро,низкий,медленно,нет
0,1,1,седан,задний,электро,низкий,нормально,0,1,1,седан,полный,электро,высокий,нормально,да
1,0,1,грузовик,полный,гибрид,высокий,медленно,0,1,1,седан,полный,электро,высокий,нормально,нет
1,1,1,внедорожник,задний,бензин,низкий,быстро,0,1,1,грузовик,задний,гибрид,высокий,быстро,да
0,1,0,внедорожник,полный,гибрид,средний,медленно,0,1,1,седан,полный,электро,высокий,нормально,нет
1,1,1,грузовик,задний,гибрид,средний,нормально,0,0,0,седан,задний,гибрид,низкий,медленно,нет
0,1,1,грузовик,задний,гибрид,высокий,быстро,0,1,1,седан,полный,электро,высокий,нормально,да
0,1,0,внедорожник,полный,гибрид,средний,медленно,1,0,1,грузовик,передний,электро,средний,нормально,нет
1,0,1,грузовик,передний,электро,средний,нормально,1,1,1,внедорожник,задний,гибрид,высокий,медленно,нет
0,1,1,грузовик,задний,гибрид,высокий,быстро,0,1,1,седан,задний,электро,низкий,нормально,да
1,0,1,грузовик,передний,электро,средний,нормально,0,1,1,внедорожник,передний,электро,низкий,медленно,нет
0,1,1,седан,полный,электро,высокий,нормально,0,1,0,грузовик,задний,электро,средний,быстро,нет
1,0,1,грузовик,полный,гибрид,высокий,медленно,0,0,1,внедорожник,полный,дизель,низкий,быстро,нет
1,1,0,хэтчбек,задний,бензин,высокий,нормально,0,0,1,внедорожник,полный,дизель,низкий,быстро,нет
1,1,0,грузовик,передний,бензин,высокий,быстро,1,1,1,внедорожник,задний,бензин,низкий,быстро,да
0,1,0,внедорожник,полный,гибрид,низкий,быстро,1,1,0,седан,задний,электро,низкий,быстро,да
1,1,0,грузовик,передний,бензин,высокий,быстро,0,1,0,внедорожник,полный,гибрид,низкий,быстро,нет
0,1,1,грузовик,задний,гибрид,высокий,быстро,0,1,0,внедорожник,полный,гибрид,средний,медленно,нет
1,1,1,внедорожник,задний,бензин,низкий,быстро,1,1,0,хэтчбек,задний,бензин,высокий,нормально,да
0,1,0,внедорожник,полный,гибрид,средний,медленно,0,1,0,внедорожник,полный,гибрид,низкий,быстро,да
0,0,0,седан,задний,гибрид,низкий,медленно,1,1,0,грузовик,задний,дизель,низкий,медленно,да
0,0,0,хэтчбек,задний,дизель,высокий,медленно,1,1,1,хэтчбек,полный,дизель,высокий,нормально,нет
0,1,1,внедорожник,передний,электро,низкий,медленно,1,1,0,грузовик,задний,дизель,низкий,медленно,нет
1,1,0,грузовик,передний,бензин,высокий,быстро,1,1,1,грузовик,задний,гибрид,средний,нормально,нет
0,1,1,седан,задний,электро,низкий,нормально,1,1,0,седан,задний,электро,низкий,быстро,да
0,1,0,внедорожник,полный,гибрид,низкий,быстро,1,1,1,внедорожник,задний,гибрид,высокий,медленно,нет
1,1,1,внедорожник,задний,гибрид,высокий,медленно,1,1,1,хэтчбек,полный,дизель,высокий,нормально,да
0,1,0,внедорожник,полный,гибрид,средний,медленно,0,1,1,внедорожник,передний,электро,низкий,медленно,да
0,1,1,седан,полный,электро,высокий,нормально,0,1,1,внедорожник,передний,электро,низкий,медленно,да
0,1,1,внедорожник,передний,электро,низкий,медленно,1,1,0,седан,задний,электро,низкий,быстро,нет
1,1,1,грузовик,задний,гибрид,средний,нормально,0,1,0,внедорожник,полный,гибрид,средний,медленно,нет
1,0,1,грузовик,полный,гибрид,высокий,медленно,1,1,1,внедорожник,задний,гибрид,высокий,медленно,да
0,1,0,грузовик,задний,бензин,средний,быстро,1,1,1,внедорожник,задний,гибрид,высокий,медленно,нет
1,1,1,грузовик,задний,гибрид,средний,нормально,0,1,0,грузовик,задний,электро,средний,быстро,да
0,1,1,седан,задний,электро,низкий,нормально,0,0,1,внедорожник,полный,дизель,низкий,быстро,нет
0,0,0,хэтчбек,задний,дизель,высокий,медленно,1,1,1,внедорожник,задний,гибрид,высокий,медленно,нет
0,0,0,хэтчбек,задний,дизель,высокий,медленно,0,1,0,внедорожник,полный,гибрид,низкий,быстро,нет
0,1,1,грузовик,задний,гибрид,высокий,быстро,1,0,1,грузовик,полный,гибрид,высокий,медленно,да
1,1,1,внедорожник,задний,бензин,низкий,быстро,0,0,0,хэтчбек,задний,дизель,высокий,медленно,нет
1,1,1,грузовик,задний,гибрид,средний,нормально,0,1,0,внедорожник,полный,гибрид,низкий,быстро,нет
0,1,1,седан,задний,электро,низкий,нормально,1,0,1,грузовик,полный,гибрид,высокий,медленно,нет
0,1,1,грузовик,задний,гибрид,высокий,быстро,0,0,0,седан,задний,гибрид,низкий,медленно,нет
0,0,0,седан,задний,гибрид,низкий,медленно,1,1,1,внедорожник,задний,гибрид,высокий,медленно,нет
0,1,1,грузовик,задний,гибрид,высокий,быстро,0,0,0,хэтчбек,задний,дизель,высокий,медленно,нет
1,1,1,внедорожник,задний,гибрид,высокий,медленно,1,1,0,хэтчбек,задний,бензин,высокий,нормально,да
1,1,1,грузовик,задний,гибрид,средний,нормально,1,1,0,седан,задний,электро,низкий,быстро,нет
1,0,1,грузовик,передний,электро,средний,нормально,0,1,1,седан,полный,электро,высокий,нормально,нет
0,1,0,грузовик,задний,бензин,средний,быстро,1,0,1,грузовик,полный,гибрид,высокий,медленно,нет
1,1,1,грузовик,задний,гибрид,средний,нормально,0,1,1,внедорожник,передний,электро,низкий,медленно,нет
1,1,1,внедорожник,задний,гибрид,высокий,медленно,0,0,1,внедорожник,полный,дизель,низкий,быстро,нет
1,1,0,грузовик,передний,бензин,высокий,быстро,0,0,1,внедорожник,полный,дизель,низкий,быстро,нет
0,1,1,седан,задний,электро,низкий,нормально,0,1,1,внедорожник,передний,электро,низкий,медленно,да
0,1,0,грузовик,задний,бензин,средний,быстро,0,1,1,седан,полный,электро,высокий,нормально,нет
0,0,0,седан,задний,гибрид,низкий,медленно,0,1,0,грузовик,задний,электро,средний,быстро,нет
1,1,1,хэтчбек,полный,дизель,высокий,нормально,1,1,0,грузовик,задний,дизель,низкий,медленно,нет
1,1,1,внедорожник,задний,бензин,низкий,быстро,1,1,1,внедорожник,задний,гибрид,высокий,медленно,да
1,1,0,грузовик,передний,бензин,высокий,быстро,1,0,1,грузовик,передний,электро,средний,нормально,нет
0,1,0,внедорожник,полный,гибрид,низкий,быстро,1,1,0,грузовик,задний,дизель,низкий,медленно,нет
0,1,0,внедорожник,полный,гибрид,низкий,быстро,1,1,0,хэтчбек,задний,бензин,высокий,нормально,нет
0,1,1,седан,задний,электро,низкий,нормально,1,1,1,грузовик,задний,гибрид,средний,нормально,да
0,1,0,грузовик,задний,электро,средний,быстро,0,0,1,внедорожник,полный,дизель,низкий,быстро,нет
1,0,1,грузовик,полный,гибрид,высокий,медленно,0,1,0,внедорожник,полный,гибрид,низкий,быстро,нет
1,1,0,хэтчбек,задний,бензин,высокий,нормально,1,1,0,грузовик,задний,дизель,низкий,медленно,да
0,1,0,внедорожник,полный,гибрид,низкий,быстро,0,1,1,седан,полный,электро,высокий,нормально,нет
1,1,0,грузовик,передний,бензин,высокий,быстро,1,1,0,седан,задний,электро,низкий,быстро,да
0,1,0,грузовик,задний,бензин,средний,быстро,0,1,0,внедорожник,полный,гибрид,средний,медленно,да
0,0,0,хэтчбек,задний,дизель,высокий,медленно,0,0,1,внедорожник,полный,дизель,низкий,быстро,нет
1,1,0,грузовик,передний,бензин,высокий,быстро,1,0,1,грузовик,полный,гибрид,высокий,медленно,нет
0,1,1,грузовик,задний,гибрид,высокий,быстро,0,0,1,внедорожник,полный,дизель,низкий,быстро,нет
1,1,0,хэтчбек,задний,бензин,высокий,нормально,0,1,0,грузовик,задний,электро,средний,быстро,нет
1,0,1,грузовик,передний,электро,средний,нормально,1,1,0,хэтчбек,задний,бензин,высокий,нормально,нет
1,1,0,грузовик,передний,бензин,высокий,быстро,0,1,0,грузовик,задний,бензин,средний,быстро,да
0,1,1,внедорожник,передний,электро,низкий,медленно,0,0,1,внедорожник,полный,дизель,низкий,быстро,да
1,0,1,грузовик,полный,гибрид,высокий,медленно,0,1,1,внедорожник,передний,электро,низкий,медленно,нет
1,0,1,грузовик,полный,гибрид,высокий,медленно,1,1,0,хэтчбек,задний,бензин,высокий,нормально,нет
1,0,1,грузовик,передний,электро,средний,нормально,1,1,1,хэтчбек,полный,дизель,высокий,нормально,нет
0,1,1,седан,полный,электро,высокий,нормально,1,1,1,хэтчбек,полный,дизель,высокий,нормально,да
0,1,1,седан,задний,электро,низкий,нормально,1,1,1,внедорожник,задний,гибрид,высокий,медленно,нет
1,1,1,грузовик,задний,гибрид,средний,нормально,0,0,0,хэтчбек,задний,дизель,высокий,медленно,нет
1,0,1,грузовик,полный,гибрид,высокий,медленно,1,1,1,хэтчбек,полный,дизель,высокий,нормально,да
0,1,1,грузовик,задний,гибрид,высокий,быстро,1,1,0,хэтчбек,задний,бензин,высокий,нормально,нет
0,1,0,грузовик,задний,бензин,средний,быстро,1,1,1,хэтчбек,полный,дизель,высокий,нормально,нет
1,1,1,внедорожник,задний,бензин,низкий,быстро,0,1,0,внедорожник,полный,гибрид,низкий,быстро,да
0,1,0,внедорожник,полный,гибрид,низкий,быстро,0,0,1,внедорожник,полный,дизель,низкий,быстро,да
0,1,0,грузовик,задний,электро,средний,быстро,1,1,0,седан,задний,электро,низкий,быстро,да
1,0,1,грузовик,полный,гибрид,высокий,медленно,1,0,1,грузовик,передний,электро,средний,нормально,да
1,0,1,грузовик,передний,электро,средний,нормально,1,1,0,седан,задний,электро,низкий,быстро,нет
1,1,1,внедорожник,задний,бензин,низкий,быстро,1,0,1,грузовик,передний,электро,средний,нормально,нет
0,1,0,грузовик,задний,бензин,средний,быстро,0,0,0,седан,задний,гибрид,низкий,медленно,нет
0,1,1,седан,задний,электро,низкий,нормально,0,1,0,внедорожник,полный,гибрид,низкий,быстро,нет
0,1,0,внедорожник,полный,гибрид,средний,медленно,0,0,0,хэтчбек,задний,дизель,высокий,медленно,нет
0,1,1,грузовик,задний,гибрид,высокий,быстро,1,1,0,седан,задний,электро,низкий,быстро,нет
1,1,1,грузовик,задний,гибрид,средний,нормально,1,0,1,грузовик,полный,гибрид,высокий,медленно,да
0,1,1,грузовик,задний,гибрид,высокий,быстро,1,1,1,внедорожник,задний,гибрид,высокий,медленно,да
1,1,0,грузовик,задний,дизель,низкий,медленно,1,1,0,седан,задний,электро,низкий,быстро,да
0,1,0,грузовик,задний,бензин,средний,быстро,1,1,0,грузовик,задний,дизель,низкий,медленно,да
1,1,1,внедорожник,задний,бензин,низкий,быстро,0,0,0,седан,задний,гибрид,низкий,медленно,нет
1,1,1,внедорожник,задний,бензин,низкий,быстро,1,0,1,грузовик,полный,гибрид,высокий,медленно,нет
0,1,1,грузовик,задний,гибрид,высокий,быстро,1,1,0,грузовик,задний,дизель,низкий,медленно,нет
0,1,1,грузовик,задний,гибрид,высокий,быстро,0,1,1,внедорожник,передний,электро,низкий,медленно,нет
0,1,0,внедорожник,полный,гибрид,средний,медленно,1,1,0,седан,задний,электро,низкий,быстро,нет
0,1,0,внедорожник,полный,гибрид,средний,медленно,1,1,1,хэтчбек,полный,дизель,высокий,нормально,нет
1,0,1,грузовик,передний,электро,средний,нормально,1,1,0,грузовик,задний,дизель,низкий,медленно,нет
1,1,1,грузовик,задний,гибрид,средний,нормально,1,0,1,грузовик,передний,электро,средний,нормально,да
0,1,1,седан,полный,электро,высокий,нормально,1,1,0,седан,задний,электро,низкий,быстро,нет
0,1,1,грузовик,задний,гибрид,высокий,быстро,1,1,1,хэтчбек,полный,дизель,высокий,нормально,нет
1,1,1,внедорожник,задний,бензин,низкий,быстро,0,1,0,внедорожник,полный,гибрид,средний,медленно,нет
0,1,1,седан,полный,электро,высокий,нормально,1,1,0,грузовик,задний,дизель,низкий,медленно,нет
1,1,0,грузовик,передний,бензин,высокий,быстро,0,1,1,седан,задний,электро,низкий,нормально,нет
1,1,0,грузовик,передний,бензин,высокий,быстро,0,1,1,седан,полный,электро,высокий,нормально,нет
0,1,1,грузовик,задний,гибрид,высокий,быстро,0,1,0,грузовик,задний,бензин,средний,быстро,да
1,1,1,грузовик,задний,гибрид,средний,нормально,0,0,1,внедорожник,полный,дизель,низкий,быстро,нет
