1_двигатель_включен,1_ручной_тормоз,1_фары_включены,1_тип_кузова,1_привод,1_топливо,1_скорость,2_двигатель_включен,2_ручной_тормоз,2_фары_включены,2_тип_кузова,2_привод,2_топливо,2_скорость,collision
0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,1
1.0,0.0,0.0,0.0,2.0,0.0,62.18143471492037,0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,1
1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,1
0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,1
1.0,0.0,0.0,1.0,0.0,0.0,87.12136664397701,0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,0
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,0
1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,1
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,0
1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,1.0,0.0,0.0,1.0,1.0,0.0,147.82956703752876,1
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,1
1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,1
0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,1
0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,1
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,1
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,0
1.0,0.0,0.0,1.0,1.0,0.0,147.82956703752876,0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,0
1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,1
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,0
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,1
1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0
1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,1
0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,0
1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,0
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,1
1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,1.0,0.0,0.0,1.0,0.0,0.0,87.12136664397701,0
0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,1
0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,1
1.0,0.0,0.0,0.0,2.0,0.0,62.18143471492037,1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,1
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,1
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,0
1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,1
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,0
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,0
0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,1.0,0.0,1.0,2.0,1.0,3.0,52.96374299418722,0
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,0
1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,1.0,0.0,1.0,2.0,1.0,3.0,52.96374299418722,1
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,1.0,0.0,1.0,2.0,1.0,3.0,52.96374299418722,0
1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,1
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,1
1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,1.0,0.0,0.0,1.0,1.0,0.0,147.82956703752876,0
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,1
0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,1
0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,1
1.0,0.0,1.0,2.0,1.0,3.0,52.96374299418722,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,0
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,1
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,1.0,0.0,0.0,0.0,2.0,0.0,62.18143471492037,0
1.0,0.0,0.0,1.0,1.0,0.0,147.82956703752876,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,0
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,1.0,0.0,0.0,0.0,2.0,0.0,62.18143471492037,0
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,1
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,1
1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,0
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,1
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,1
1.0,0.0,0.0,1.0,1.0,0.0,147.82956703752876,1.0,0.0,0.0,1.0,0.0,0.0,87.12136664397701,1
1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,0
1.0,0.0,0.0,0.0,2.0,0.0,62.18143471492037,1.0,0.0,0.0,1.0,0.0,0.0,87.12136664397701,1
0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,1
1.0,0.0,0.0,0.0,2.0,0.0,62.18143471492037,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,0
0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,1
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,0
0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,0
1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,0
1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,1
0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,1
1.0,0.0,0.0,1.0,1.0,0.0,147.82956703752876,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,0
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,1
1.0,0.0,0.0,0.0,2.0,0.0,62.18143471492037,1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,0
1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,0
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,1
0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,1
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,0
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,0
1.0,0.0,0.0,0.0,2.0,0.0,62.18143471492037,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,1
1.0,0.0,1.0,2.0,1.0,3.0,52.96374299418722,0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,0
1.0,0.0,0.0,1.0,0.0,0.0,87.12136664397701,0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,0
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,0
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,1
0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,0
0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,1
1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,0
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,1
1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,0
1.0,0.0,0.0,1.0,0.0,0.0,87.12136664397701,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,0
1.0,0.0,0.0,1.0,0.0,0.0,87.12136664397701,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,0
1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,1
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,1
1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,1
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,1.0,0.0,0.0,1.0,1.0,0.0,147.82956703752876,0
1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,1
0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,1.0,0.0,0.0,1.0,1.0,0.0,147.82956703752876,0
1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,1
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,0
1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,0
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,0
1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,1.0,0.0,0.0,1.0,0.0,0.0,87.12136664397701,0
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,1
1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,0
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,1.0,0.0,0.0,1.0,1.0,0.0,147.82956703752876,0
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,1
1.0,0.0,1.0,2.0,1.0,3.0,52.96374299418722,1.0,0.0,0.0,1.0,1.0,0.0,147.82956703752876,1
0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,0
1.0,0.0,0.0,0.0,2.0,0.0,62.18143471492037,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,1
1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,1
1.0,0.0,0.0,0.0,2.0,0.0,62.18143471492037,0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,0
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,0
0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,0
0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,1
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,1.0,0.0,1.0,2.0,1.0,3.0,52.96374299418722,0
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,1.0,0.0,0.0,1.0,0.0,0.0,87.12136664397701,0
1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,0
1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,0
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0
1.0,0.0,1.0,2.0,1.0,3.0,52.96374299418722,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,0
1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,0
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,1
0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,1
1.0,0.0,0.0,0.0,2.0,0.0,62.18143471492037,1.0,0.0,1.0,2.0,1.0,3.0,52.96374299418722,0
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,1.0,0.0,0.0,1.0,1.0,0.0,147.82956703752876,0
1.0,0.0,0.0,1.0,0.0,0.0,87.12136664397701,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,0
1.0,0.0,0.0,1.0,0.0,0.0,87.12136664397701,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,0
1.0,0.0,0.0,1.0,1.0,0.0,147.82956703752876,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,0
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,1
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,0
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,0
1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0
1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,1
1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,0
0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,1
1.0,0.0,0.0,0.0,2.0,0.0,62.18143471492037,0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0
1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,0
0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,1
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,1
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,1
0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,0
1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0
1.0,0.0,0.0,0.0,2.0,0.0,62.18143471492037,0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,0
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,0
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,1.0,0.0,0.0,1.0,1.0,0.0,147.82956703752876,0
0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,1
1.0,0.0,1.0,2.0,1.0,3.0,52.96374299418722,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,1
0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,1
1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,0.0,0.0,0.0,2.0,2.0,3.0,117.55229763161492,1
0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,0
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,0
1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,1
1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,1
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,1.0,0.0,1.0,2.0,1.0,3.0,52.96374299418722,0
1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,1.0,0.0,0.0,1.0,1.0,0.0,147.82956703752876,0
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,0
1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,1.0,0.0,0.0,1.0,0.0,0.0,87.12136664397701,0
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,1
1.0,0.0,0.0,0.0,2.0,0.0,62.18143471492037,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,1
1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,0
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,1.0,0.0,0.0,1.0,0.0,0.0,87.12136664397701,0
0.0,1.0,0.0,0.0,0.0,1.0,74.54627650420285,0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0
1.0,0.0,0.0,2.0,2.0,1.0,138.22067351712238,1.0,0.0,0.0,1.0,0.0,0.0,87.12136664397701,1
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,0
1.0,0.0,1.0,2.0,1.0,3.0,52.96374299418722,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,1
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,1.0,1.0,1.0,2.0,2.0,1.0,114.92475542597525,0
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0
0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,0
0.0,1.0,0.0,2.0,0.0,3.0,151.2379692407792,0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,1
1.0,1.0,0.0,0.0,2.0,1.0,150.85540761712787,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,1
0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,1.0,0.0,1.0,2.0,1.0,3.0,52.96374299418722,0
0.0,1.0,0.0,3.0,2.0,1.0,189.51089814457532,0.0,1.0,1.0,2.0,2.0,0.0,101.2762501167331,1
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,0.0,1.0,0.0,2.0,0.0,3.0,53.086756627573784,1
0.0,1.0,1.0,2.0,2.0,3.0,17.18268311261866,0.0,0.0,1.0,0.0,1.0,3.0,44.9650328798012,1
0.0,1.0,0.0,0.0,0.0,1.0,190.14547840252106,0.0,0.0,1.0,3.0,2.0,3.0,141.95112612354066,0
0.0,0.0,0.0,0.0,0.0,3.0,198.59969696306885,0.0,1.0,0.0,0.0,2.0,1.0,184.78716638391785,1
1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,1.0,1.0,0.0,2.0,2.0,2.0,96.3016399511471,1
1.0,1.0,1.0,2.0,0.0,2.0,129.97284243894964,1.0,0.0,1.0,2.0,1.0,3.0,52.96374299418722,1
