time_left,ct_score,t_score,map,ct_health,t_health,ct_armor,t_armor,ct_money,t_money,ct_helmets,t_helmets,ct_defuse_kits,ct_players_alive,t_players_alive,health_lead,armor_lead,money_lead,helmets_lead,players_alive_lead,KMeans_Cluster,DBSCAN_Cluster,GaussianMixture_Cluster,CustomKMeans_Cluster
22.45,3,1,7,100,324,99,355,250,7000,1,4,1,1,4,1,1,1,1,1,0,-1,0,0
96.82,1,6,2,500,500,296,500,13300,28600,1,5,0,5,5,2,1,1,1,2,1,-1,1,1
114.94,7,0,6,500,500,476,400,47500,11200,5,3,4,5,5,2,0,0,0,2,1,-1,1,1
174.94,1,3,7,500,500,200,0,19500,28500,0,0,0,5,5,2,0,1,2,2,1,-1,1,1
114.95,2,3,2,500,500,185,500,11000,22250,0,5,0,5,5,2,1,1,1,2,1,-1,1,1
9.95,10,7,3,300,100,300,100,1600,350,3,1,2,3,1,0,0,0,0,0,0,-1,0,0
174.94,14,13,4,500,500,0,473,16750,34900,0,5,0,5,5,2,1,1,1,2,1,-1,1,1
26.82,11,13,5,243,153,279,182,2100,5150,1,2,2,3,2,0,0,1,1,0,0,-1,0,0
13.55,0,4,2,46,200,92,191,2600,13600,0,2,0,1,2,1,1,1,1,1,0,-1,0,0
2.33,14,8,1,191,300,200,274,2400,7250,2,3,2,2,3,1,1,1,1,1,0,-1,0,0
39.69,10,8,2,489,400,500,346,800,14500,1,4,2,5,4,0,0,1,1,0,0,-1,0,0
94.94,0,6,1,499,496,498,479,1400,18900,2,5,1,5,5,0,0,1,1,2,1,-1,0,1
114.94,11,14,4,500,500,500,428,1000,12750,0,5,0,5,5,2,0,1,1,2,1,-1,1,1
175.0,6,9,2,500,500,400,0,600,2400,0,0,1,5,5,2,0,1,2,2,1,-1,1,1
74.93,0,5,6,500,476,500,381,3950,31450,3,5,3,5,5,0,0,1,1,2,1,-1,0,1
39.41,4,14,1,468,422,487,470,350,5000,3,5,1,5,5,0,0,1,1,2,1,-1,0,1
74.96,4,12,2,184,280,0,300,1500,1150,0,3,0,2,3,1,1,0,1,1,0,-1,0,0
174.91,14,9,2,500,500,93,0,22750,23050,1,0,1,5,5,2,0,1,0,2,1,-1,1,1
168.61,1,4,5,500,500,400,434,5500,24350,0,5,0,5,5,2,1,1,1,2,1,-1,1,1
54.94,9,3,7,192,247,200,368,900,2050,2,4,2,2,4,1,1,1,1,1,0,-1,0,0
54.91,11,13,5,292,113,299,204,2600,24550,0,3,3,3,3,0,0,1,1,2,0,-1,0,0
94.91,11,11,7,395,300,397,223,850,11400,0,3,0,4,3,0,0,1,1,0,0,-1,0,0
29.99,4,1,6,54,5,95,69,2400,3000,1,0,1,1,1,0,0,1,0,2,0,-1,0,0
174.94,7,14,3,500,500,0,257,31300,38600,0,3,0,5,5,2,1,1,1,2,1,-1,1,1
114.94,12,10,1,500,500,497,433,1550,11950,4,5,5,5,5,2,0,1,1,2,1,-1,1,1
26.84,6,12,6,323,77,363,91,14500,2400,4,0,3,4,1,0,0,0,0,0,0,-1,0,0
160.66,7,8,5,500,500,400,200,550,1100,0,0,1,5,5,2,0,1,2,2,1,-1,1,1
38.55,3,10,5,131,200,183,200,1800,18450,1,2,1,2,2,1,1,1,1,2,0,-1,0,0
74.96,4,5,1,400,468,398,499,10150,600,2,5,4,4,5,1,1,0,1,1,1,-1,0,1
67.91,11,0,5,300,255,296,284,39650,350,3,2,3,3,3,0,0,0,0,2,0,-1,0,0
14.95,8,10,4,194,187,195,194,5050,6100,2,2,2,2,2,0,0,1,2,2,0,-1,0,0
26.77,4,10,5,200,78,200,92,600,300,2,1,0,2,1,0,0,0,0,0,0,-1,0,0
71.93,15,13,3,401,237,486,300,3550,0,5,3,2,5,3,0,0,0,0,0,0,-1,0,0
16.14,7,10,2,66,253,0,275,350,5750,0,3,0,1,3,1,1,1,1,1,0,-1,0,0
114.93,13,11,7,500,500,495,459,20450,11250,3,5,5,5,5,2,0,0,1,2,1,-1,1,1
6.95,1,0,5,15,214,87,100,450,1650,1,1,0,1,3,1,1,1,2,1,0,-1,0,0
167.0,1,2,5,500,500,300,0,14650,21600,3,0,2,5,5,2,0,1,0,2,1,-1,1,1
89.95,14,7,2,348,187,292,177,5950,17400,1,2,2,4,2,0,0,1,1,0,0,-1,0,0
79.24,15,13,2,316,200,299,200,1200,6500,1,2,0,4,2,0,0,1,1,0,0,-1,0,0
114.95,10,15,1,500,500,492,500,8600,300,5,5,4,5,5,2,1,0,2,2,1,-1,1,1
54.9,4,0,3,100,239,100,281,2600,2350,1,3,1,1,3,1,1,0,1,1,0,-1,0,0
114.91,1,0,7,500,500,500,0,200,10050,5,0,3,5,5,2,0,1,0,2,1,-1,1,1
23.32,12,13,5,100,288,100,292,100,17400,0,3,1,1,3,1,1,1,1,1,0,-1,0,0
34.95,1,1,1,500,356,449,369,4900,1050,5,3,3,5,5,0,0,0,0,2,1,-1,0,1
74.93,9,3,2,100,426,0,460,2150,5450,0,5,0,1,5,1,1,1,1,1,0,-1,0,0
94.96,4,4,2,500,500,500,0,3700,11900,5,0,1,5,5,2,0,1,0,2,1,-1,1,1
174.94,2,3,6,500,500,0,240,23550,28350,0,3,0,5,5,2,1,1,1,2,1,-1,1,1
88.77,4,5,1,491,470,500,489,7650,6950,4,5,2,5,5,0,0,0,1,2,1,-1,0,1
114.96,11,10,1,500,500,497,388,4850,31450,2,5,2,5,5,2,0,1,1,2,1,-1,1,1
174.95,13,6,2,500,500,260,0,35950,22550,3,0,3,5,5,2,0,0,0,2,1,-1,1,1
54.95,5,8,2,100,285,100,400,450,4300,1,4,1,1,4,1,1,1,1,1,0,-1,0,0
94.95,11,6,1,404,500,0,492,12150,10950,0,5,0,5,5,1,1,0,1,2,1,-1,0,1
34.9,1,4,5,400,400,100,309,9750,32950,0,4,0,4,4,2,1,1,1,2,1,-1,0,1
69.89,9,1,5,500,339,490,381,33300,7550,4,2,3,5,4,0,0,0,0,0,0,-1,0,0
114.94,11,12,6,500,500,491,500,20800,650,5,3,4,5,5,2,1,0,0,2,1,-1,1,1
69.95,11,11,1,114,400,168,437,4950,14750,1,5,0,2,5,1,1,1,1,1,0,-1,0,0
51.65,14,8,2,400,410,400,480,3850,5850,4,5,3,4,5,1,1,1,1,1,1,-1,0,1
174.94,2,1,1,500,500,394,0,23000,10150,4,0,3,5,5,2,0,0,0,2,1,-1,1,1
31.31,4,5,3,222,37,288,85,950,5150,2,1,1,3,1,0,0,1,0,0,0,-1,0,0
39.24,0,0,2,300,300,200,100,250,1150,0,0,1,3,3,2,0,1,2,2,0,-1,0,0
74.95,5,15,4,100,395,100,404,50,28000,1,5,0,1,5,1,1,1,1,1,0,-1,0,0
174.93,4,4,7,500,500,282,100,37250,28250,3,1,3,5,5,2,0,0,0,2,1,-1,1,1
174.91,10,3,3,500,500,400,0,18600,17850,1,0,2,5,5,2,0,0,0,2,1,-1,1,1
175.0,0,0,1,500,500,400,300,1400,650,0,0,0,5,5,2,0,0,2,2,1,-1,1,1
74.95,6,8,2,486,300,400,266,1450,8050,3,3,0,5,3,0,0,1,2,0,0,-1,0,0
66.87,11,15,4,500,435,474,0,13000,11550,5,0,5,5,5,0,0,0,0,2,1,-1,0,1
174.87,2,3,4,500,500,86,0,16750,25550,0,0,0,5,5,2,0,1,2,2,1,-1,1,1
174.91,6,6,2,500,500,0,196,26650,24400,0,2,0,5,5,2,1,0,1,2,1,-1,1,1
54.95,19,21,1,261,300,299,283,15600,31650,3,3,3,3,3,1,0,1,2,2,0,-1,0,0
54.92,8,9,1,327,289,98,291,10250,4500,0,3,0,4,3,0,1,0,1,0,0,-1,0,0
95.55,15,12,7,500,458,497,484,15850,100,4,5,5,5,5,0,0,0,1,2,1,-1,0,1
34.92,10,8,2,200,100,200,95,200,6150,2,1,0,2,1,0,0,1,0,0,0,-1,0,0
10.98,9,4,3,100,0,100,0,950,0,1,0,1,1,0,0,0,0,0,0,0,-1,0,0
14.31,8,7,5,328,0,284,0,1950,0,0,0,0,4,0,0,0,0,2,0,0,-1,0,0
170.0,6,0,4,500,500,453,181,31400,11900,5,2,4,5,5,2,0,0,0,2,1,-1,1,1
44.67,11,8,5,500,477,490,392,9550,9800,5,2,2,5,5,0,0,1,0,2,1,-1,0,1
101.88,15,18,4,500,500,500,500,48900,53150,4,5,4,5,5,2,2,1,1,2,1,-1,1,1
175.0,7,8,2,500,500,400,100,600,1750,0,0,0,5,5,2,0,1,2,2,1,-1,1,1
94.91,1,5,1,331,366,398,400,5150,13850,4,4,3,4,4,1,1,1,2,2,1,-1,0,1
54.95,1,8,3,300,300,300,288,1350,32150,1,3,2,3,3,2,0,1,1,2,0,-1,0,0
69.97,9,11,4,500,499,487,499,25750,3400,5,4,5,5,5,0,1,0,0,2,1,-1,0,1
10.12,10,4,7,146,146,169,163,2200,2200,2,2,1,2,2,2,0,2,2,2,0,-1,0,0
175.0,8,14,7,500,500,500,300,1050,10800,2,3,1,5,5,2,0,1,1,2,1,-1,1,1
174.94,7,6,6,500,500,0,377,10000,28300,0,4,0,5,5,2,1,1,1,2,1,-1,1,1
94.93,2,3,5,500,500,72,463,12250,17000,0,5,0,5,5,2,1,1,1,2,1,-1,1,1
175.0,0,0,4,500,500,400,400,700,600,0,0,1,5,5,2,2,0,2,2,1,-1,1,1
26.72,2,6,5,100,311,99,326,3450,31500,1,4,1,1,4,1,1,1,1,1,0,-1,0,0
46.89,13,10,6,197,300,178,300,5150,500,2,2,2,2,3,1,1,0,2,1,0,-1,0,0
114.95,1,4,4,500,500,500,500,9800,800,4,4,3,5,5,2,2,0,2,2,1,-1,1,1
18.57,2,8,1,200,179,200,270,150,15700,1,3,0,2,3,0,1,1,1,1,0,-1,0,0
69.95,1,3,5,400,500,400,500,2300,450,2,4,3,4,5,1,1,0,1,1,1,-1,0,1
99.46,10,15,1,500,500,478,200,26200,11800,5,0,5,5,5,2,0,0,0,2,1,-1,1,1
31.94,11,13,2,200,189,200,293,9600,3500,2,3,2,2,3,0,1,0,1,1,0,-1,0,0
74.88,10,8,7,200,262,195,290,950,900,1,3,1,2,3,1,1,0,1,1,0,-1,0,0
94.93,11,15,2,373,284,388,294,3050,16600,3,3,4,4,3,0,0,1,2,0,0,-1,0,0
174.95,1,8,2,500,500,200,227,18250,36550,1,3,0,5,5,2,1,1,1,2,1,-1,1,1
106.88,0,2,1,500,500,196,457,11100,14700,1,5,0,5,5,2,1,1,1,2,1,-1,1,1
74.95,14,11,1,300,233,0,282,6850,6050,0,4,0,3,4,0,1,0,1,1,0,-1,0,0
11.65,10,13,1,100,100,100,100,550,1050,0,1,1,1,1,2,2,1,1,2,0,-1,0,0
14.95,4,2,3,119,98,185,187,950,5100,1,2,0,2,2,0,1,1,1,2,0,-1,0,0
74.91,11,9,2,483,500,200,494,12350,3100,1,5,0,5,5,1,1,0,1,2,1,-1,0,1
174.95,5,11,3,500,500,100,0,21050,15300,0,0,1,5,5,2,0,0,2,2,1,-1,1,1
166.91,9,13,1,500,500,0,69,21350,55350,0,1,0,5,5,2,1,1,1,2,1,-1,1,1
94.95,8,13,1,497,400,500,400,3800,2450,4,4,4,5,4,0,0,0,2,0,1,-1,0,1
34.93,14,8,7,500,500,400,472,14400,13200,0,5,1,5,5,2,1,0,1,2,1,-1,1,1
99.66,14,14,1,500,171,497,255,20950,6300,5,2,5,5,3,0,0,0,0,0,0,-1,0,0
74.97,3,6,2,458,400,475,0,6700,10250,4,0,3,5,4,0,0,1,0,0,0,-1,0,0
13.67,5,13,1,100,200,100,193,2350,3450,0,2,0,1,2,1,1,1,1,1,0,-1,0,0
66.82,16,15,3,419,347,496,391,19200,15750,5,4,5,5,4,0,0,0,0,0,0,-1,0,0
54.77,1,3,7,400,400,400,394,200,14450,1,4,0,4,4,2,0,1,1,2,1,-1,0,1
94.95,10,4,2,500,413,500,481,9350,1150,5,4,5,5,5,0,0,0,0,2,1,-1,0,1
107.01,9,15,1,500,500,492,500,4150,1300,4,5,3,5,5,2,1,0,1,2,1,-1,1,1
175.0,15,15,2,500,500,0,0,50000,50000,0,0,0,5,5,2,2,2,2,2,1,-1,1,1
94.92,11,3,3,500,500,500,500,6400,2250,5,4,5,5,5,2,2,0,0,2,1,-1,1,1
114.95,12,8,4,500,500,496,440,1300,15950,2,5,3,5,5,2,0,1,1,2,1,-1,1,1
54.86,8,12,6,281,218,300,269,2000,8000,3,3,2,3,3,0,0,1,2,2,0,-1,0,0
114.91,2,6,2,500,500,500,400,10650,3550,5,3,4,5,5,2,0,0,0,2,1,-1,1,1
114.94,15,7,5,500,500,500,400,5200,2200,5,3,2,5,5,2,0,0,0,2,1,-1,1,1
28.28,0,2,4,237,498,0,458,8500,13000,0,5,1,4,5,1,1,1,1,1,0,-1,0,0
21.87,13,11,1,200,155,200,296,4000,900,2,3,2,2,3,0,1,0,1,1,0,-1,0,0
32.45,6,15,6,235,178,300,172,800,11800,1,2,1,3,2,0,0,1,1,0,0,-1,0,0
94.89,1,3,5,491,499,496,500,6700,750,5,5,3,5,5,1,1,0,2,2,1,-1,0,1
175.0,14,12,3,500,500,500,400,15600,10450,3,4,2,5,5,2,0,0,1,2,1,-1,1,1
174.93,5,5,7,500,500,199,0,48250,22950,2,0,2,5,5,2,0,0,0,2,1,-1,1,1
74.94,0,0,3,334,200,368,100,1600,250,0,0,1,5,2,0,0,0,2,0,0,-1,0,0
64.93,11,11,6,500,382,413,395,32300,1900,5,4,4,5,4,0,0,0,0,0,1,-1,0,1
34.94,8,3,3,261,380,300,397,8750,2550,3,4,3,3,4,1,1,0,1,1,0,-1,0,0
20.4,6,7,7,100,255,100,350,150,13950,0,4,0,1,4,1,1,1,1,1,0,-1,0,0
106.93,2,4,6,500,500,500,500,8500,19350,3,5,3,5,5,2,2,1,1,2,1,-1,1,1
74.93,8,13,2,500,500,0,500,11850,7400,0,5,0,5,5,2,1,0,1,2,1,-1,1,1
94.95,10,10,4,500,314,468,386,24200,6600,5,1,3,5,4,0,0,0,0,0,0,-1,0,0
30.55,0,0,3,86,161,92,141,150,1500,0,0,0,1,3,1,1,1,2,1,0,-1,0,0
34.91,9,3,2,300,276,298,290,7200,1500,3,3,3,3,3,0,0,0,2,2,0,-1,0,0
174.94,6,4,6,500,500,172,182,24600,35150,0,2,1,5,5,2,1,1,1,2,1,-1,1,1
174.91,3,1,2,500,500,496,0,28650,20350,5,0,4,5,5,2,0,0,0,2,1,-1,1,1
74.94,6,5,4,399,400,359,200,8200,8850,4,1,2,4,4,1,0,1,0,2,1,-1,0,1
114.95,10,9,3,500,500,453,500,30950,1400,5,5,3,5,5,2,1,0,2,2,1,-1,1,1
74.95,8,10,2,400,500,400,478,200,11600,1,5,0,4,5,1,1,1,1,1,1,-1,0,1
114.91,0,5,2,500,500,500,477,11200,18600,0,5,0,5,5,2,0,1,1,2,1,-1,1,1
23.3,0,4,5,84,407,97,427,100,17350,1,5,1,1,5,1,1,1,1,1,0,-1,0,0
167.34,15,15,1,500,500,300,300,64050,69650,2,3,2,5,5,2,2,1,1,2,1,-1,1,1
31.92,6,0,6,300,242,281,188,30950,6600,3,1,3,3,3,0,0,0,0,2,0,-1,0,0
69.96,10,1,4,500,357,500,371,15300,8350,4,4,4,5,4,0,0,0,2,0,0,-1,0,0
14.93,6,7,5,152,213,250,287,24600,400,3,3,2,3,3,1,1,0,2,2,0,-1,0,0
74.95,1,4,3,415,500,490,447,200,15650,1,5,0,5,5,1,0,1,1,2,1,-1,0,1
166.88,15,14,3,500,500,373,0,19900,24650,1,0,2,5,5,2,0,1,0,2,1,-1,1,1
30.34,8,3,7,300,0,280,0,6000,0,3,0,3,3,0,0,0,0,0,0,0,-1,0,0
100.91,3,2,5,500,500,0,494,13050,3200,0,5,0,5,5,2,1,0,1,2,1,-1,1,1
174.91,18,17,7,500,500,390,0,46850,27150,3,0,3,5,5,2,0,0,0,2,1,-1,1,1
66.84,4,14,7,479,275,464,362,6250,200,4,1,2,5,4,0,0,0,0,0,0,-1,0,0
46.95,4,3,1,427,395,412,426,400,12600,4,5,1,5,5,0,1,1,1,2,1,-1,0,1
114.97,2,0,2,500,500,499,500,11500,3250,4,4,3,5,5,2,1,0,2,2,1,-1,1,1
94.94,5,1,3,458,500,488,500,46700,600,5,5,5,5,5,1,1,0,2,2,1,-1,0,1
39.9,3,4,1,136,370,92,343,5500,6450,1,4,1,2,4,1,1,1,1,1,0,-1,0,0
174.84,7,8,7,500,500,300,400,1250,600,0,0,0,5,5,2,1,0,2,2,1,-1,1,1
175.0,7,8,5,500,500,100,200,3350,2700,0,0,0,5,5,2,1,0,2,2,1,-1,1,1
31.08,10,11,6,200,282,200,0,3300,8300,2,0,1,2,3,1,0,1,0,1,0,-1,0,0
34.93,7,11,4,467,448,494,477,300,7000,3,5,0,5,5,0,0,1,1,2,1,-1,0,1
169.96,2,7,2,500,500,200,0,22900,33700,1,0,1,5,5,2,0,1,0,2,1,-1,1,1
23.71,0,2,7,300,283,300,298,50,10500,1,4,0,3,4,0,0,1,1,1,0,-1,0,0
175.0,5,10,3,500,500,0,0,4000,4000,0,0,0,5,5,2,2,2,2,2,1,-1,1,1
75.54,8,15,3,371,86,400,92,3400,3200,3,1,2,4,1,0,0,0,0,0,0,-1,0,0
109.93,0,0,6,500,500,400,300,700,600,0,0,1,5,5,2,0,0,2,2,1,-1,1,1
114.96,8,4,1,500,500,500,498,100,13350,3,5,2,5,5,2,0,1,1,2,1,-1,1,1
32.48,15,10,4,100,100,100,100,6850,1900,0,1,1,1,1,2,2,0,1,2,0,-1,0,0
114.87,8,5,7,500,500,500,500,14450,100,5,5,5,5,5,2,2,0,2,2,1,-1,1,1
66.17,7,13,1,500,446,496,314,1950,22650,1,5,1,5,5,0,0,1,1,2,1,-1,0,1
174.91,1,6,5,500,500,0,234,25550,57600,0,3,0,5,5,2,1,1,1,2,1,-1,1,1
174.91,15,11,6,500,500,0,200,20750,18650,0,2,0,5,5,2,1,0,1,2,1,-1,1,1
94.93,5,5,1,491,394,497,456,5200,7350,2,5,3,5,5,0,0,1,1,2,1,-1,0,1
170.0,13,2,4,500,500,200,200,2700,800,0,0,0,5,5,2,2,0,2,2,1,-1,1,1
74.95,1,8,3,500,500,500,441,4250,56550,3,5,3,5,5,2,0,1,1,2,1,-1,1,1
54.9,8,9,4,441,469,0,464,12050,10500,0,5,0,5,5,1,1,0,1,2,1,-1,0,1
26.6,6,7,3,29,13,100,100,1050,3200,0,1,0,1,1,0,2,1,1,2,0,-1,0,0
174.95,5,9,4,500,500,100,264,23900,23050,0,3,0,5,5,2,1,0,1,2,1,-1,1,1
94.94,6,12,7,500,416,191,480,9750,6400,1,5,0,5,5,0,1,0,1,2,1,-1,0,1
102.2,10,14,2,500,500,400,463,11950,18800,0,5,0,5,5,2,1,1,1,2,1,-1,1,1
175.0,2,4,4,500,500,300,374,14300,39050,0,4,0,5,5,2,1,1,1,2,1,-1,1,1
54.92,3,0,4,388,400,390,400,9600,850,4,4,4,4,4,1,1,0,2,2,1,-1,0,1
94.94,10,13,5,447,400,492,190,6450,11150,3,2,0,5,4,0,0,1,0,0,0,-1,0,0
169.94,14,3,2,500,500,0,366,7800,18250,0,1,0,5,5,2,1,1,1,2,1,-1,1,1
28.59,12,4,2,100,207,100,293,250,1650,1,2,0,1,4,1,1,1,1,1,0,-1,0,0
94.95,7,4,3,479,500,487,500,16100,750,5,5,4,5,5,1,1,0,2,2,1,-1,0,1
114.9,9,15,4,500,500,498,389,1300,49350,3,5,2,5,5,2,0,1,1,2,1,-1,1,1
49.9,10,8,1,390,452,476,484,1250,3750,3,5,1,5,5,1,1,1,1,2,1,-1,0,1
114.92,12,6,1,500,500,500,398,450,20950,4,5,0,5,5,2,0,1,1,2,1,-1,1,1
108.69,5,4,1,500,500,469,500,5600,1400,5,4,3,5,5,2,1,0,0,2,1,-1,1,1
14.93,6,6,3,362,169,481,178,7200,11100,4,2,4,5,2,0,0,1,0,0,0,-1,0,0
27.29,8,3,6,394,350,400,391,6450,5700,2,4,1,4,4,0,0,0,1,2,0,-1,0,0
114.96,6,3,2,500,500,500,417,350,28400,1,5,0,5,5,2,0,1,1,2,1,-1,1,1
174.94,4,12,3,500,500,0,283,10750,18650,0,0,0,5,5,2,1,1,2,2,1,-1,1,1
102.64,0,2,3,500,500,0,490,12300,3250,0,5,0,5,5,2,1,0,1,2,1,-1,1,1
20.46,15,16,1,300,110,300,192,15600,15900,3,2,3,3,2,0,0,1,0,0,0,-1,0,0
25.29,4,6,1,122,0,186,0,7000,0,2,0,2,2,0,0,0,0,0,0,0,-1,0,0
54.95,2,5,3,480,451,497,427,1000,43950,1,5,1,5,5,0,0,1,1,2,1,-1,0,1
69.9,13,10,1,200,398,197,455,1800,13800,1,5,2,2,5,1,1,1,1,1,0,-1,0,0
94.94,11,8,3,500,500,492,500,2650,3450,3,5,4,5,5,2,1,1,1,2,1,-1,1,1
34.91,8,14,1,200,154,200,183,800,2200,1,2,0,2,2,0,0,1,1,2,0,-1,0,0
54.94,0,1,5,400,491,400,497,350,650,2,5,0,4,5,1,1,1,1,1,1,-1,0,1
44.91,5,7,1,500,498,490,498,10450,1350,5,5,3,5,5,0,1,0,2,2,1,-1,0,1
74.9,0,0,5,200,379,100,272,950,1450,0,0,0,2,5,1,1,1,2,1,0,-1,0,0
114.93,7,6,6,500,500,500,424,2500,14100,2,5,2,5,5,2,0,1,1,2,1,-1,1,1
175.0,11,4,1,500,500,100,100,1850,1950,0,0,1,5,5,2,2,1,2,2,1,-1,1,1
74.91,10,12,7,400,400,391,400,12950,3050,4,4,3,4,4,2,1,0,2,2,1,-1,0,1
28.38,12,13,1,194,379,200,368,700,13850,1,4,1,2,4,1,1,1,1,1,0,-1,0,0
31.52,10,3,3,275,105,272,176,1250,800,2,2,2,3,2,0,0,0,2,0,0,-1,0,0
167.5,8,4,6,500,500,500,436,600,31550,0,5,0,5,5,2,0,1,1,2,1,-1,1,1
14.95,14,10,3,89,146,92,192,11100,500,1,2,1,1,2,1,1,0,1,1,0,-1,0,0
66.83,1,8,7,330,328,400,350,1000,29100,1,4,1,4,4,0,0,1,1,2,0,-1,0,0
30.78,4,7,3,300,392,100,395,4950,15250,0,4,0,3,4,1,1,1,1,1,0,-1,0,0
174.94,4,14,3,500,500,0,442,25000,29450,0,5,0,5,5,2,1,1,1,2,1,-1,1,1
29.95,12,13,2,500,500,500,500,14250,29950,4,5,3,5,5,2,2,1,1,2,1,-1,1,1
94.91,8,8,2,500,500,500,0,300,10250,5,0,2,5,5,2,0,1,0,2,1,-1,1,1
54.94,7,13,3,400,400,300,354,12150,19050,1,4,1,4,4,2,1,1,1,2,1,-1,0,1
175.0,10,12,6,500,500,500,185,6600,17400,4,2,3,5,5,2,0,1,0,2,1,-1,1,1
9.94,11,12,1,44,137,100,194,1350,21650,0,3,0,1,3,1,1,1,1,1,0,-1,0,0
114.9,5,1,6,500,500,500,200,2100,13350,5,0,0,5,5,2,0,1,0,2,1,-1,1,1
14.96,3,5,4,100,191,92,277,3700,11300,1,3,1,1,3,1,1,1,1,1,0,-1,0,0
174.92,7,5,1,500,500,300,0,27700,13900,3,0,2,5,5,2,0,0,0,2,1,-1,1,1
54.93,1,1,1,300,464,200,479,1250,4100,0,5,0,3,5,1,1,1,1,1,0,-1,0,0
166.91,2,1,1,500,500,95,271,16100,20050,1,3,1,5,5,2,1,1,1,2,1,-1,1,1
86.18,10,9,2,232,472,100,410,8850,14450,1,5,0,4,5,1,1,1,1,1,1,-1,0,1
99.28,13,12,5,500,497,485,499,19100,8450,5,3,5,5,5,0,1,0,0,2,1,-1,0,1
19.48,1,0,4,9,171,86,191,0,1450,1,1,0,1,2,1,1,1,2,1,0,-1,0,0
74.91,9,5,2,500,446,496,479,17950,500,5,5,5,5,5,0,0,0,2,2,1,-1,0,1
114.95,9,12,2,500,500,500,475,5550,11800,3,5,3,5,5,2,0,1,1,2,1,-1,1,1
170.0,9,6,5,500,500,300,200,1650,1150,0,0,1,5,5,2,0,0,2,2,1,-1,1,1
49.92,1,7,7,281,458,296,477,200,36050,1,5,0,3,5,1,1,1,1,1,1,-1,0,1
114.95,12,15,2,500,500,492,500,2850,9500,3,5,5,5,5,2,1,1,1,2,1,-1,1,1
